Series Name,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Trained teachers in primary education (% of total teachers),Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Grenada,GRD,..,67.21105957,..,..,53.71429062,62.97117996,63.59038925,62.99766159,64.0625,62.94918823,..,..
Trained teachers in primary education (% of total teachers),Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Guinea,GIN,..,..,80.3763504,74.5147171,74.11840057,75.00395203,75.68726349,75.3609314,..,..,..,..
Trained teachers in primary education (% of total teachers),Guinea-Bissau,GNB,..,35.12482071,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Guyana,GUY,..,51.43270111,67.69690704,69.64942169,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),"Hong Kong SAR, China",HKG,..,87.54923248,95.79129028,95.79184723,96.00715637,96.41133118,96.17485809,96.60662842,96.89440918,96.55108643,95.98204803,..
Trained teachers in primary education (% of total teachers),Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),India,IND,..,..,..,..,..,..,..,69.50208282,69.83104706,..,73.13343811,..
Trained teachers in primary education (% of total teachers),Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),"Iran, Islamic Rep.",IRN,..,..,..,..,100,100,100,100,100,..,..,..
Trained teachers in primary education (% of total teachers),Iraq,IRQ,..,100,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Jamaica,JAM,..,..,..,..,..,95.66155243,93.37625122,96.2075119,..,100,100,..
Trained teachers in primary education (% of total teachers),Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Jordan,JOR,..,..,..,..,..,100,..,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Kazakhstan,KAZ,..,..,..,..,..,100,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Kiribati,KIR,..,..,..,..,..,..,..,72.71340942,..,..,..,..
Trained teachers in primary education (% of total teachers),"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Kuwait,KWT,..,100,77.61997986,77.74416351,77.15550232,79.48969269,78.9332428,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Kyrgyz Republic,KGZ,..,..,69.65776825,71.97357941,92.14502716,93.03057098,92.7841568,94.99201202,95.43013,..,..,..
Trained teachers in primary education (% of total teachers),Lao PDR,LAO,..,76.69252014,93.76638031,97.23808289,97.98023987,98.28128815,98.42639923,97.49646759,97.01689911,97.01696014,96.91008759,..
Trained teachers in primary education (% of total teachers),Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Lesotho,LSO,..,74.18978882,66.45279694,67.54463959,72.03285217,75.78579712,79.15827942,86.52568817,..,..,..,..
Trained teachers in primary education (% of total teachers),Liberia,LBR,..,..,56.36711121,..,..,56.38850021,..,..,70.17002106,..,..,..
Trained teachers in primary education (% of total teachers),Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),"Macao SAR, China",MAC,..,83.52345276,85.83020782,87.98256683,88.16275787,88.19651794,96.16725159,97.5891037,98.19477081,98.52349091,98.91757202,..
Trained teachers in primary education (% of total teachers),Madagascar,MDG,..,..,..,20.98621941,18.91444016,16.66275024,15.07264042,14.87429047,14.83743,14.70798016,15.26896954,..
Trained teachers in primary education (% of total teachers),Malawi,MWI,..,..,88.44660187,91.62832642,90.80982971,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Malaysia,MYS,..,97.85160065,96.12114716,96.43276215,96.71330261,98.64774323,99.93438721,99.73451996,98.90949249,97.29856873,96.72530365,..
Trained teachers in primary education (% of total teachers),Maldives,MDV,..,66.45101929,80.76335907,77.47429657,90.12020111,86.05711365,82.79754639,85.72437286,90.13452911,91.85945129,88.82769012,..
Trained teachers in primary education (% of total teachers),Mali,MLI,..,..,52.42385101,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Mauritania,MRT,..,..,100,100,..,91.21727753,..,..,87.20230865,91.19586182,96.85507965,..
Trained teachers in primary education (% of total teachers),Mauritius,MUS,..,100,100,100,100,100,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Mexico,MEX,..,..,96.00005341,95.99993134,92.95787048,93.27574158,93.94158936,94.59134674,94.81147003,95.34085083,..,..
Trained teachers in primary education (% of total teachers),"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,34.80392075,..
Trained teachers in primary education (% of total teachers),Moldova,MDA,..,..,..,..,..,93.81906128,100,99.1659317,99.08628845,98.97685242,100,..
Trained teachers in primary education (% of total teachers),Monaco,MCO,..,..,..,..,..,..,..,..,..,..,63.52941132,75
Trained teachers in primary education (% of total teachers),Mongolia,MNG,..,100,98.54289246,99.36070251,100,100,..,100,..,93.27017212,..,..
Trained teachers in primary education (% of total teachers),Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Morocco,MAR,..,..,100,100,100,100,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Mozambique,MOZ,..,..,80.10401154,83.63948822,87.32588959,89.95684814,93.2438736,95.14325714,97.19216156,97.24614716,97.95700073,..
Trained teachers in primary education (% of total teachers),Myanmar,MMR,..,62.70185089,..,..,..,99.54798889,..,..,..,95.33693695,..,..
Trained teachers in primary education (% of total teachers),Namibia,NAM,..,85.39791107,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Nauru,NRU,..,..,..,..,..,..,..,100,..,..,..,..
Trained teachers in primary education (% of total teachers),Nepal,NPL,..,..,80.72852325,92.55902863,92.1852417,93.58152008,94.42307281,97.01081085,97.27851868,..,97.2910614,..
Trained teachers in primary education (% of total teachers),Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Nicaragua,NIC,..,72.89663696,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Niger,NER,..,97.35420227,..,..,45.84346008,50.08322144,55.52360153,55.64210129,..,61.60927963,97.74690247,..
Trained teachers in primary education (% of total teachers),Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Oman,OMN,..,99.60311127,..,..,..,..,..,..,100,100,100,..
Trained teachers in primary education (% of total teachers),Pakistan,PAK,..,..,82.80512238,83.90705872,84.89832306,84.01316833,82.46730804,..,..,77.95626068,76.87418365,..
Trained teachers in primary education (% of total teachers),Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
